n_in,final,a,b,c,d,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3
2009070213,0,-0.57,-1.66,198.89,1.76,-1.16,-0.88,232.75,1.46,-0.3,-1.48,191.55,1.51,0.39,-2.18,169.75,2.22
2009070214,0,-0.31,-1.48,191.96,1.52,-0.62,-1.02,211.12,1.19,0.25,-1.65,171.57,1.67,0.74,-2.29,162.17,2.4
2009070215,0,0.19,-1.23,171.43,1.25,-0.05,-1.14,182.49,1.14,0.8,-1.81,156.21,1.98,0.91,-2.34,158.7,2.52
2009070216,0.01,0.85,-1.01,139.82,1.32,0.33,-1.16,164.07,1.21,1.17,-1.94,148.97,2.26,0.99,-2.37,157.24,2.57
2009070217,0.01,1.58,-0.92,120.33,1.83,0.64,-1.16,151.25,1.32,1.4,-2.1,146.21,2.52,1.07,-2.4,156.03,2.63
2009070218,0.01,2.26,-1.09,115.88,2.51,1.06,-1.26,139.98,1.65,1.64,-2.39,145.54,2.9,1.23,-2.48,153.58,2.76
2009070219,0.01,2.78,-1.57,119.47,3.19,1.71,-1.54,132.08,2.3,1.95,-2.85,145.57,3.46,1.55,-2.62,149.37,3.04
2009070220,0.01,3.07,-2.13,124.77,3.74,2.35,-1.92,129.21,3.04,2.26,-3.32,145.73,4.02,1.97,-2.76,144.51,3.39
2009070221,0.08,3.07,-2.5,129.13,3.96,2.67,-2.26,130.26,3.5,2.44,-3.58,145.78,4.33,2.39,-2.81,139.6,3.69
2009070222,0.025,2.75,-2.46,131.85,3.69,2.46,-2.46,135,3.48,2.39,-3.47,145.51,4.21,2.74,-2.71,134.69,3.85
2009070223,0.08,2.3,-2.18,133.5,3.17,1.99,-2.48,141.23,3.18,2.21,-3.09,144.44,3.8,2.93,-2.47,130.17,3.83
2009070300,0.201,1.93,-1.87,134.12,2.69,1.63,-2.29,144.5,2.81,2.03,-2.57,141.68,3.27,2.91,-2.16,126.63,3.62
2009070301,0.12,1.65,-1.88,138.64,2.5,1.96,-2.04,136.19,2.83,2.65,-1.82,124.46,3.21,2.06,-2.14,136.14,2.97
2009070302,0.035,1.94,-1.38,125.31,2.38,2,-1.57,128.18,2.54,2.33,-1.48,122.46,2.77,2.12,-1.92,132.13,2.86
2009070303,0.05,2.27,-0.92,111.98,2.45,2.12,-1.2,119.41,2.44,2.21,-1.21,118.82,2.52,2.37,-1.71,125.85,2.93
2009070304,0.08,2.46,-0.61,103.99,2.54,2.3,-0.95,112.37,2.49,2.42,-1.03,113.11,2.63,2.74,-1.53,119.18,3.14
2009070305,0.065,2.5,-0.45,100.17,2.54,2.51,-0.82,108.19,2.64,2.84,-0.91,107.83,2.98,3.13,-1.36,113.51,3.41
2009070306,0.14,2.42,-0.37,98.76,2.45,2.71,-0.82,106.81,2.83,3.25,-0.81,104.05,3.35,3.42,-1.19,109.2,3.63
2009070307,0.08,2.28,-0.34,98.6,2.3,2.91,-0.91,107.43,3.05,3.49,-0.71,101.43,3.56,3.57,-1.03,106.16,3.72
2009070308,0.055,2.29,-0.36,99,2.32,3.16,-1.04,108.24,3.33,3.63,-0.63,99.91,3.69,3.65,-0.96,104.81,3.77
2009070309,0.025,2.7,-0.43,99.14,2.74,3.57,-1.13,107.63,3.74,3.81,-0.66,99.86,3.87,3.8,-1.08,105.91,3.95
2009070310,0.04,3.65,-0.57,98.82,3.7,4.15,-1.15,105.46,4.3,4.11,-0.84,101.53,4.19,4.1,-1.45,109.48,4.35
2009070311,0.1,4.78,-0.75,98.94,4.84,4.73,-1.2,104.21,4.88,4.44,-1.18,104.84,4.59,4.45,-1.99,114.04,4.87
2009070312,0.175,5.62,-0.98,99.9,5.7,5.08,-1.44,105.79,5.28,4.7,-1.69,109.74,4.99,4.71,-2.57,118.64,5.37
2009070313,0.13,5.06,-1.95,111.06,5.42,4.8,-2.34,116.04,5.34,4.79,-3.11,123.01,5.71,3.73,-2.93,128.18,4.74
2009070314,0.095,4.87,-2.54,117.53,5.49,4.8,-3.02,122.19,5.68,4.78,-3.55,126.57,5.96,3.91,-3.58,132.5,5.3
2009070315,0.095,4.82,-2.95,121.48,5.66,4.83,-3.58,126.51,6.01,4.86,-3.86,128.44,6.21,4.42,-4.01,132.24,5.97
2009070316,0.19,5.13,-3.01,120.41,5.95,4.97,-3.88,128,6.31,5.14,-4.02,128,6.52,5.13,-4.25,129.64,6.66
2009070317,0.221,5.66,-2.83,116.6,6.33,5.22,-3.94,127.02,6.54,5.55,-4.02,125.89,6.85,5.85,-4.29,126.24,7.26
2009070318,0.226,6.18,-2.62,112.96,6.71,5.59,-3.78,124.08,6.75,5.99,-3.88,122.88,7.14,6.4,-4.14,122.86,7.62
2009070319,0.301,6.53,-2.52,111.15,7,6.03,-3.46,119.83,6.95,6.37,-3.61,119.55,7.32,6.65,-3.81,119.83,7.67
2009070320,0.421,6.68,-2.53,110.75,7.14,6.4,-3.1,115.85,7.11,6.62,-3.32,116.63,7.41,6.68,-3.44,117.26,7.52
2009070321,0.486,6.68,-2.58,111.08,7.16,6.54,-2.86,113.65,7.14,6.7,-3.11,114.89,7.38,6.63,-3.17,115.55,7.35
2009070322,0.476,6.55,-2.6,111.66,7.05,6.33,-2.84,114.17,6.94,6.56,-3.04,114.87,7.23,6.6,-3.09,115.09,7.28
2009070323,0.476,6.26,-2.57,112.31,6.77,5.84,-2.89,116.35,6.52,6.2,-3,115.84,6.88,6.47,-3.08,115.46,7.17
2009070400,0.521,5.77,-2.45,112.97,6.27,5.21,-2.83,118.52,5.93,5.62,-2.83,116.74,6.3,6.12,-2.98,116,6.81
2009070401,0.476,4.55,-2.52,118.98,5.2,4.87,-2.44,116.57,5.45,5.45,-2.68,116.17,6.07,5.46,-2.26,112.45,5.91
2009070402,0.501,3.96,-2.08,117.73,4.48,4.1,-1.95,115.45,4.54,4.65,-2.26,115.93,5.17,4.87,-2.29,115.22,5.38
2009070403,0.662,3.55,-1.71,115.67,3.94,3.5,-1.58,114.26,3.84,3.97,-1.88,115.4,4.39,4.39,-2.17,116.34,4.89
2009070404,0.747,3.37,-1.53,114.43,3.71,3.19,-1.45,114.39,3.5,3.58,-1.66,114.82,3.95,4,-1.96,116.08,4.45
2009070405,0.622,3.31,-1.51,114.52,3.64,3.05,-1.44,115.32,3.38,3.36,-1.52,114.37,3.68,3.67,-1.73,115.24,4.06
2009070406,0.406,3.19,-1.54,115.73,3.54,2.9,-1.39,115.61,3.21,3.09,-1.38,114.04,3.38,3.35,-1.57,115.13,3.7
2009070407,0.19,2.91,-1.55,118.01,3.3,2.62,-1.18,114.34,2.87,2.66,-1.18,113.85,2.91,3.02,-1.55,117.07,3.4
2009070408,0.11,2.63,-1.62,121.57,3.09,2.4,-1.06,113.85,2.62,2.3,-1.05,114.54,2.52,2.83,-1.66,120.38,3.28
2009070409,0.075,2.54,-1.83,125.78,3.13,2.51,-1.33,118.02,2.84,2.29,-1.16,116.95,2.57,2.95,-1.91,122.89,3.52
