date,final,a,b,c,d,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3
2009070213,0.079,-1.79,142.93,2.24,1.77,-1.33,126.96,2.21,1.61,-2.84,150.45,3.26,0.94,-3.62,165.39,3.74,1.35
2009070214,0.079,-1.72,170.12,1.75,1.19,-1.33,138.23,1.78,1.51,-3.12,154.13,3.47,1.32,-3.65,160.14,3.88,0.3
2009070215,0.099,-1.49,192.58,1.53,0.89,-1.16,142.48,1.47,1.66,-3.11,151.96,3.53,1.96,-3.39,150.03,3.91,-0.33
2009070216,0.099,-1.18,186.76,1.19,1.21,-0.8,123.42,1.45,2.14,-2.68,141.44,3.43,2.74,-2.96,137.24,4.03,-0.14
2009070217,0.099,-0.89,145.83,1.08,1.92,-0.41,102.15,1.96,2.86,-2.05,125.72,3.52,3.53,-2.53,125.69,4.35,0.61
2009070218,0.099,-0.73,116.47,1.64,2.66,-0.24,95.19,2.67,3.66,-1.54,112.79,3.97,4.18,-2.29,118.69,4.76,1.47
2009070219,0.178,-0.77,110.2,2.23,3.17,-0.45,98.08,3.2,4.4,-1.38,107.48,4.61,4.57,-2.34,117.12,5.13,2.09
2009070220,0.247,-0.96,111.27,2.65,3.46,-0.92,104.87,3.58,4.93,-1.61,108.1,5.19,4.72,-2.61,118.93,5.39,2.47
2009070221,0.178,-1.24,114.58,2.97,3.64,-1.46,111.86,3.92,5.14,-2.18,112.99,5.58,4.67,-2.95,122.23,5.52,2.7
2009070222,0.237,-1.52,118.06,3.23,3.76,-1.91,116.93,4.22,4.92,-2.99,121.25,5.76,4.47,-3.23,125.79,5.52,2.85
2009070223,0.366,-1.76,121.08,3.41,3.77,-2.25,120.83,4.39,4.42,-3.72,130.03,5.78,4.16,-3.39,129.12,5.37,2.92
2009070300,0.415,-1.92,123.36,3.48,3.53,-2.46,124.93,4.3,3.81,-3.98,136.25,5.51,3.78,-3.39,131.85,5.08,2.91
2009070301,0.267,-2.56,130.54,3.94,3.25,-3.56,137.6,4.82,3.37,-3.21,133.6,4.65,4.27,-3.3,127.64,5.4,2.99
2009070302,0.138,-2.56,137.25,3.49,2.84,-2.83,134.84,4.01,2.99,-2.94,134.51,4.19,3.89,-3.08,128.33,4.96,2.37
2009070303,0.128,-2.5,142.44,3.15,2.67,-2.31,130.83,3.53,2.73,-2.71,134.8,3.84,3.62,-3.18,131.25,4.82,1.92
2009070304,0.178,-2.39,142.42,3.02,2.76,-2.36,130.59,3.63,2.62,-2.6,134.71,3.69,3.45,-3.46,135.1,4.88,1.84
2009070305,0.267,-2.28,138.24,3.05,2.93,-2.73,132.9,4.01,2.63,-2.56,134.22,3.67,3.33,-3.71,138.04,4.99,2.03
2009070306,0.227,-2.19,133.21,3.2,2.98,-2.97,134.97,4.21,2.69,-2.53,133.23,3.69,3.25,-3.7,138.65,4.93,2.33
2009070307,0.208,-2.16,129.74,3.38,2.74,-2.79,135.53,3.92,2.75,-2.44,131.64,3.68,3.19,-3.29,135.87,4.58,2.6
2009070308,0.178,-2.19,128.07,3.55,2.46,-2.39,134.17,3.43,2.86,-2.34,129.27,3.7,3.19,-2.73,130.57,4.2,2.79
2009070309,0.158,-2.27,128,3.69,2.43,-2.07,130.44,3.19,3.12,-2.28,126.23,3.86,3.31,-2.36,125.54,4.07,2.91
2009070310,0.168,-2.41,129.24,3.8,2.85,-2.08,126.14,3.53,3.54,-2.32,123.26,4.24,3.59,-2.45,124.3,4.34,2.94
2009070311,0.138,-2.6,130.99,3.96,3.47,-2.36,124.26,4.2,4.02,-2.51,121.98,4.73,3.92,-2.87,126.2,4.86,2.99
2009070312,0.099,-2.86,132.28,4.25,3.92,-2.78,125.32,4.81,4.36,-2.87,123.38,5.22,4.18,-3.43,129.39,5.4,3.15
2009070313,0.148,-3.2,128.92,5.09,4.44,-3.41,127.5,5.6,4.26,-3.95,132.83,5.81,4.33,-4.51,136.17,6.25,3.96
2009070314,0.168,-3.5,132.71,5.15,4.32,-3.92,132.2,5.83,4.22,-4.32,135.7,6.04,4.59,-4.72,135.81,6.59,3.79
2009070315,0.267,-3.54,133.7,5.13,4.11,-4.16,135.36,5.85,4.14,-4.47,137.21,6.1,4.6,-4.66,135.34,6.55,3.71
2009070316,0.336,-3.29,129.78,5.14,3.9,-3.99,135.65,5.58,4.11,-4.37,136.72,6,4.45,-4.4,134.66,6.26,3.95
2009070317,0.237,-3,124.26,5.32,3.78,-3.67,134.1,5.27,4.17,-4.12,134.69,5.86,4.31,-4.07,133.35,5.93,4.4
2009070318,0.099,-3,121.72,5.71,3.83,-3.54,132.76,5.22,4.34,-3.91,132,5.84,4.38,-3.81,130.99,5.81,4.85
2009070319,0.128,-3.5,124.33,6.21,4.07,-3.84,133.38,5.6,4.63,-3.85,129.73,6.02,4.75,-3.7,127.89,6.02,5.13
2009070320,0.188,-4.19,129.22,6.63,4.32,-4.3,134.88,6.09,4.87,-3.87,128.46,6.22,5.13,-3.69,125.7,6.32,5.14
2009070321,0.188,-4.63,133.91,6.68,4.35,-4.5,135.99,6.26,4.87,-3.86,128.39,6.21,5.14,-3.69,125.67,6.33,4.81
2009070322,0.049,-4.5,137.45,6.11,4,-4.17,136.2,5.78,4.48,-3.72,129.71,5.83,4.53,-3.62,128.65,5.8,4.13
